workload,gpu_util,precision,batch_size,hidden_size,ti_dim,feat_dim,interval,train-overall(ms),init data(ms),train_epoch(no h2d copy)(ms),overall-time(s)
DNN,high,fp32,,,2400,600,5000000,22218.59051997308,0.5242100451141596,573.4357439941961,24.635687446920198
DNN,high,fp16,,,2400,600,5000000,15243.51346702315,0.7071730215102434,253.04620059614533,15.268057047040205
DNN,median,fp32,,,2400,600,5000000,15437.198354047725,0.6253129104152322,144.85749685471612,15.45583775592968
DNN,median,fp16,,,2400,600,5000000,15344.218555954285,0.5882319528609514,295.29163169874147,15.362329411087554
DNN,low,fp32,,,2400,600,5000000,28804.777335026294,0.5498019745573401,249.61875747734055,28.818463923991658
DNN,low,fp16,,,2400,600,5000000,14231.093285023235,0.353319919668138,427.5698496688468,14.241321415989662
ALSTM,high,fp32,,,2400,600,5000000,14061.821400071494,0.3563829232007265,427.5571299600415,14.079759187996387
ALSTM,high,fp16,,,2400,600,5000000,13709.803413017651,0.6448059575632215,391.2277305498719,13.728242704062724
ALSTM,median,fp32,,,2400,600,5000000,14287.345011020081,0.5314380396157503,363.77780190669,14.298142687999645
ALSTM,median,fp16,,,2400,600,5000000,13297.533148084767,0.3707540454342961,228.73823159607127,13.306442775996402
ALSTM,low,fp32,,,2400,600,5000000,14279.067330993708,0.35888992715626955,350.1902002142742,14.285255993017929
ALSTM,low,fp16,,,2400,600,5000000,14278.00930000376,0.3567460225895047,356.39694416895514,14.285268593928775
LSTM,high,fp32,,,2400,600,5000000,20253.00110701937,0.3620500210672617,222.52981335991592,20.294368939008567
LSTM,high,fp16,,,2400,600,5000000,18613.15686802845,0.3809829941019416,193.4176164419873,18.654051193036143
LSTM,median,fp32,,,2400,600,5000000,11641.350136953406,0.34421798773109913,351.4068620104808,11.656084151007235
LSTM,median,fp16,,,2400,600,5000000,11267.537430976516,0.3532730042934418,278.23471638257615,11.286409331019964
LSTM,low,fp32,,,2400,600,5000000,12503.088149940595,0.3566179657354951,266.87995441025123,12.51069893897511
LSTM,low,fp16,,,2400,600,5000000,12283.715312951244,0.34643698018044233,330.33557361923164,12.290844226954505
Transformer,high,fp32,,,2400,600,5000000,12917.599232052451,0.3417190164327621,11.220293669612149,12.937558771925971
Transformer,high,fp16,,,2400,600,5000000,13732.25714894943,0.3595799207687378,17.833598906872798,13.75430602708366
Transformer,median,fp32,,,2400,600,5000000,12282.719371956773,0.3555120201781392,13.36339427470642,12.31729405396618
Transformer,median,fp16,,,2400,600,5000000,13161.956998985259,0.3410350764170289,15.848446708125405,13.18241091701202
Transformer,low,fp32,,,2400,600,5000000,13051.659477991052,0.33403292763978243,13.481255556949101,13.089976152987221
Transformer,low,fp16,,,2400,600,5000000,13628.015734953806,0.5792960291728377,14.501697396426492,13.653507984010506
ResNet50,high,fp32,,,2400,600,5000000,13246.8336049933,0.4549280274659395,116.72093405818136,13.496419385890475
ResNet50,high,fp16,,,2400,600,5000000,11930.002195993438,0.5111810751259327,127.71734442764846,12.133074566023426
ResNet50,median,fp32,,,2400,600,5000000,11031.097099068576,0.3869800129905343,84.76617963512976,11.2156016320223
ResNet50,median,fp16,,,2400,600,5000000,11339.660443016328,0.4053730517625809,99.60576892048357,11.526888552936725
ResNet50,low,fp32,,,2400,600,5000000,19248.745993012562,0.4186480073258281,101.1742236561333,19.433623471995816
ResNet50,low,fp16,,,2400,600,5000000,17437.883786973543,0.4559379303827882,91.70119950132897,17.711945349001326
