workload,gpu_util,precision,measure,train-overall(ms),init data(ms),train_epoch(ms),overall-time(s)
DNN,high,fp32,no_h2d,32273.290209999912,1.7334110000319924,68.27473899999556,32.41130889500005
DNN,high,fp32,end2end,29108.914583999875,0.8286710001357278,215.2117009999984,29.11678592599992
DNN,high,fp16,no_h2d,29416.33954300005,0.8409540000684501,48.07965574999571,29.42707122799993
DNN,high,fp16,end2end,32394.054922000123,0.8458580000478833,251.80820775003664,32.40218930500009
DNN,median,fp32,no_h2d,32036.076488999926,0.9660559999247198,77.46988095002507,32.04581088000009
DNN,median,fp32,end2end,34354.12259600002,0.8406500001001405,242.441557050006,34.36287597599994
DNN,median,fp16,no_h2d,31472.98978399999,0.8372050001526077,51.25341789998856,31.48095710000007
DNN,median,fp16,end2end,32212.094481000124,0.8382319999782339,216.850075650018,32.21983809100016
DNN,low,fp32,no_h2d,48529.58738699999,0.8337060000940255,97.6843374500163,48.53714392799998
DNN,low,fp32,end2end,34800.71502300007,0.8363590000044496,302.83753684998374,34.808923308999965
DNN,low,fp16,no_h2d,36515.12758800004,0.838166999983514,64.12919199996168,36.52349444100014
DNN,low,fp16,end2end,34814.29328400009,0.8314249998875312,271.0079180500202,34.82220240499987
ALSTM,high,fp32,no_h2d,12124.84978700013,0.9144629998445452,91.8184616000417,12.154622979999886
ALSTM,high,fp32,end2end,12419.839742000022,0.8044630001222686,150.89012055001376,12.430155756999966
ALSTM,high,fp16,no_h2d,12029.34508500016,0.8020870000109426,70.85764650000783,12.043280807999963
ALSTM,high,fp16,end2end,11912.169804000088,0.8719679999558139,126.99523315001215,11.928063026000018
ALSTM,median,fp32,no_h2d,23286.90800100003,0.839455999994243,85.23273575005987,23.29284931300004
ALSTM,median,fp32,end2end,23859.501312000248,0.8477730002596218,202.45385360005912,23.86540001100002
ALSTM,median,fp16,no_h2d,23484.06987899989,0.8371489998353354,78.09869290003917,23.490109760999985
ALSTM,median,fp16,end2end,22908.785969999823,0.8225550000133808,194.0118460999656,22.91681054899982
ALSTM,low,fp32,no_h2d,40169.072217000125,0.8563699998376251,102.5743780999619,40.17359077400033
ALSTM,low,fp32,end2end,40867.89975300008,0.9078289999706612,332.9589986999508,40.87333815199963
ALSTM,low,fp16,no_h2d,39750.97253500007,0.859393999689928,107.07008745005167,39.75617429899967
ALSTM,low,fp16,end2end,40872.41699000014,0.8653049999338691,334.9880664000011,40.87711645299987
LSTM,high,fp32,no_h2d,5442.309015000319,0.860708999880444,207.7511378000357,5.477736127000298
LSTM,high,fp32,end2end,5142.548978999912,0.8416440000473813,223.9174938999895,5.180621201000122
LSTM,high,fp16,no_h2d,4187.014646999614,0.9958020000340184,150.04577775000598,4.217883622000045
LSTM,high,fp16,end2end,4383.252198999799,0.956253000367724,164.3240061999677,4.426849545000096
LSTM,median,fp32,no_h2d,11957.651442000042,0.9141089999502584,242.302377900046,11.973648368999877
LSTM,median,fp32,end2end,12317.24894900026,1.124441000229126,297.94816615005857,12.336207548999935
LSTM,median,fp16,no_h2d,12309.368086999712,1.003706000119564,185.777838750073,12.331078074999825
LSTM,median,fp16,end2end,12417.380684000364,0.9029940001710202,242.32154759997684,12.43859957800032
LSTM,low,fp32,no_h2d,24332.66114299977,0.8925279998948099,131.909385799986,24.33974677200013
LSTM,low,fp32,end2end,24258.28580999996,0.9091490001083002,247.9501646999779,24.26469777300008
LSTM,low,fp16,no_h2d,24673.69058899976,0.8949749999374035,196.96975989995727,24.68066412000008
LSTM,low,fp16,end2end,24075.8507139999,0.8854709999468469,313.6827511499632,24.08276318800017
Transformer,high,fp32,no_h2d,8865.510188999906,1.210168999932648,420.1867586666292,9.29842927999971
Transformer,high,fp32,end2end,8831.758289999925,1.1539649999576795,426.1053554001137,9.302611565999996
Transformer,high,fp16,no_h2d,5139.587345000109,1.057704999766429,237.52054339997807,5.598752226000215
Transformer,high,fp16,end2end,5108.05241900016,1.2972270001228026,240.8894162000024,5.52189280499988
Transformer,median,fp32,no_h2d,4750.246968999818,1.054666000072757,223.29306224999075,5.156001749000097
Transformer,median,fp32,end2end,4787.587524000173,1.0690590002013778,225.6206904999772,5.196445934999701
Transformer,median,fp16,no_h2d,2841.9763919996512,1.056400999914331,126.6507964498942,3.291732839999895
Transformer,median,fp16,end2end,2789.5125129998632,1.1594500001592678,128.67252129999542,3.213104231000216
Transformer,low,fp32,no_h2d,2576.591755999744,1.026310000270314,120.15089035003255,2.987706442000217
Transformer,low,fp32,end2end,2599.391561000175,0.95899100006136,121.08561284999269,3.059525609000048
Transformer,low,fp16,no_h2d,1565.243985000052,1.1064949999308735,70.10911575000591,1.9832740389997523
Transformer,low,fp16,end2end,1558.1973169996672,1.0322549996999442,70.12158740001269,1.995677782999792
ResNet50,high,fp32,no_h2d,6062.887594000131,1.0986689999299415,66.33830519995172,6.245200209999894
ResNet50,high,fp32,end2end,6256.747283000095,0.9150509999926726,95.86485515001186,6.429425822000212
ResNet50,high,fp16,no_h2d,6219.265834999987,0.9591940001882904,55.26179644994045,6.392592652000076
ResNet50,high,fp16,end2end,6093.868133999877,0.924819999909232,73.72038495002471,6.269238474999838
ResNet50,median,fp32,no_h2d,3228.4656329998143,0.9078439998120302,60.94188185011262,3.3907290530000864
ResNet50,median,fp32,end2end,3217.83677600024,0.9687729998404392,74.8855240999319,3.389494524999918
ResNet50,median,fp16,no_h2d,3154.5703450001383,0.969398000052024,41.70966570000019,3.325239236000016
ResNet50,median,fp16,end2end,3254.6940760003054,0.9158190000562172,56.559528749949095,3.425403275000008
ResNet50,low,fp32,no_h2d,2008.0468200003447,1.0334309999961988,57.45738235007138,2.177665874000013
ResNet50,low,fp32,end2end,1938.1864669999231,0.9357530002489512,64.27364010000929,2.115651369999796
ResNet50,low,fp16,no_h2d,1855.3381349997835,0.9243120002793148,41.88053000000309,2.031922157000281
ResNet50,low,fp16,end2end,1721.5743039996596,0.958851000177674,47.9542500999969,1.8905089290001342
