type,1float,1half
mnasnet1_0,179.0629768371582,150.73289394378662
resnet50,253.20372581481934,193.15021514892578
resnet101,400.2546262741089,292.8294324874878
resnext50_32x4d,333.3539009094238,236.96480751037598 
resnext101_32x8d,851.584038734436,536.500654220581 
densenet121,335.26843070983887,264.4427967071533 
densenet201,516.9990253448486,403.86165618896484 
squeezenet1_0,91.80721759796143,66.1709451675415 
vgg16,429.2477512359619,256.3908910751343
vgg16_bn,560.5466651916504,408.8951873779297
mobilenet_v3_large,152.47423648834229,140.5424404144287 
mobilenet_v3_small,60.08218765258789,55.63117027282715 
shufflenet_v2_x0_5,43.14363956451416,49.72536087036133
shufflenet_v2_x1_0,63.85243892669678,68.65001201629639
