type,1float,1half
mnasnet1_0,199.13429260253906,161.95276260375977
resnet50,275.81315517425537,204.03565883636475
resnet101,424.5184898376465,303.15853118896484
resnext50_32x4d,353.72814655303955,247.29187965393066
resnext101_32x8d,862.1504259109497,552.0569229125977
densenet121,353.2675504684448,275.8793258666992
densenet201,536.3809442520142,415.1912832260132
squeezenet1_0,112.51694202423096,78.86524200439453
vgg16,447.4379634857178,265.30523777008057
vgg16_bn,572.6648616790771,414.85893726348877
mobilenet_v3_large,172.54906177520752,152.11276531219482
mobilenet_v3_small,82.32483863830566,67.44623184204102
shufflenet_v2_x0_5,65.3368616104126,62.15080738067627
shufflenet_v2_x1_0,86.30807399749756,81.12575054168701
